time,temperature_2m,relative_humidity_2m,dew_point_2m,surface_pressure,rain,showers,snow_depth,weather_code,cloud_cover,wind_speed_10m
2022-01-01T00:00,21.3,91,19.8,1020.5,0.2,0.0,0.0,51,100,8.2
2022-01-01T01:00,21.1,90,19.4,1020.0,0.5,0.0,0.0,53,100,5.9
2022-01-01T02:00,21.2,92,19.8,1019.1,0.1,0.0,0.0,51,100,4.3
2022-01-01T03:00,21.0,93,19.9,1018.3,0.8,0.0,0.0,53,100,6.0
2022-01-01T04:00,21.3,92,20.0,1018.1,0.8,0.0,0.0,53,100,7.7
2022-01-01T05:00,21.5,89,19.6,1018.2,0.8,0.0,0.0,53,100,11.0
2022-01-01T06:00,21.5,90,19.7,1018.5,0.7,0.0,0.0,53,100,14.1
2022-01-01T07:00,21.3,91,19.8,1019.2,0.6,0.0,0.0,53,98,11.5
2022-01-01T08:00,21.8,88,19.8,1020.0,0.4,0.0,0.0,51,100,15.8
2022-01-01T09:00,22.2,85,19.7,1020.6,0.3,0.0,0.0,51,100,13.0
2022-01-01T10:00,23.0,83,20.0,1020.2,0.2,0.0,0.0,51,100,15.3
2022-01-01T11:00,23.6,81,20.1,1020.1,0.0,0.0,0.0,2,74,17.8
2022-01-01T12:00,23.0,80,19.5,1019.3,0.3,0.0,0.0,51,82,16.1
2022-01-01T13:00,24.1,77,19.9,1018.1,0.0,0.0,0.0,3,96,18.8
2022-01-01T14:00,23.3,77,19.0,1017.4,0.2,0.0,0.0,51,83,19.2
2022-01-01T15:00,23.8,77,19.5,1017.1,0.1,0.0,0.0,51,84,17.6
2022-01-01T16:00,22.9,79,19.0,1017.4,0.3,0.0,0.0,51,90,17.3
2022-01-01T17:00,22.5,82,19.2,1017.9,0.7,0.0,0.0,53,100,10.4
2022-01-01T18:00,21.9,87,19.5,1018.3,0.2,0.0,0.0,51,100,14.3
2022-01-01T19:00,22.3,85,19.6,1018.6,0.1,0.0,0.0,51,100,7.7
2022-01-01T20:00,22.2,83,19.2,1019.3,0.2,0.0,0.0,51,100,8.6
2022-01-01T21:00,22.2,86,19.7,1019.3,0.3,0.0,0.0,51,99,5.0
2022-01-01T22:00,21.8,88,19.7,1019.3,0.4,0.0,0.0,51,100,5.6
2022-01-01T23:00,21.4,94,20.5,1019.1,0.7,0.0,0.0,53,100,3.7
2022-01-02T00:00,21.4,91,19.9,1019.1,0.8,0.0,0.0,53,99,5.2
2022-01-02T01:00,21.4,90,19.6,1018.5,1.5,0.0,0.0,61,100,6.8
2022-01-02T02:00,21.1,93,20.0,1017.9,2.0,0.0,0.0,61,100,6.1
2022-01-02T03:00,21.2,91,19.8,1017.2,1.3,0.0,0.0,61,100,7.4
2022-01-02T04:00,21.2,92,20.0,1017.2,1.2,0.0,0.0,55,100,7.7
2022-01-02T05:00,21.8,88,19.8,1017.4,0.9,0.0,0.0,53,100,11.8
2022-01-02T06:00,22.0,88,20.0,1017.7,0.5,0.0,0.0,53,100,16.9
2022-01-02T07:00,21.9,88,19.8,1018.2,0.3,0.0,0.0,51,100,18.7
2022-01-02T08:00,22.5,84,19.8,1019.4,0.5,0.0,0.0,53,100,20.7
2022-01-02T09:00,22.8,85,20.1,1020.0,0.1,0.0,0.0,51,87,22.0
2022-01-02T10:00,22.8,84,20.0,1019.6,0.2,0.0,0.0,51,82,22.7
2022-01-02T11:00,23.0,82,19.8,1019.1,0.1,0.0,0.0,51,100,24.4
2022-01-02T12:00,22.9,83,19.8,1018.0,0.3,0.0,0.0,51,100,23.4
2022-01-02T13:00,22.6,82,19.4,1017.0,0.2,0.0,0.0,51,100,25.5
2022-01-02T14:00,22.4,84,19.6,1016.3,0.3,0.0,0.0,51,100,23.0
2022-01-02T15:00,22.4,82,19.1,1016.1,0.1,0.0,0.0,51,100,20.5
2022-01-02T16:00,22.0,87,19.7,1016.3,1.2,0.0,0.0,55,100,16.6
2022-01-02T17:00,21.9,87,19.6,1016.6,0.8,0.0,0.0,53,100,15.8
2022-01-02T18:00,21.7,86,19.3,1017.2,0.5,0.0,0.0,53,100,15.9
2022-01-02T19:00,22.4,84,19.5,1017.6,1.4,0.0,0.0,61,100,12.6
2022-01-02T20:00,21.7,87,19.5,1018.6,0.5,0.0,0.0,53,100,14.9
2022-01-02T21:00,21.3,90,19.6,1018.9,0.9,0.0,0.0,53,100,11.3
2022-01-02T22:00,22.1,87,19.8,1018.4,0.5,0.0,0.0,53,100,8.7
2022-01-02T23:00,21.8,84,18.9,1018.5,0.1,0.0,0.0,51,100,16.9
2022-01-03T00:00,22.0,87,19.7,1017.8,0.3,0.0,0.0,51,100,7.9
2022-01-03T01:00,22.0,86,19.6,1017.2,0.1,0.0,0.0,51,94,13.5
2022-01-03T02:00,22.0,85,19.4,1016.5,0.6,0.0,0.0,53,100,13.2
2022-01-03T03:00,21.4,87,19.1,1016.1,0.1,0.0,0.0,51,100,13.4
2022-01-03T04:00,21.0,93,19.7,1016.1,0.4,0.0,0.0,51,100,5.9
2022-01-03T05:00,21.1,93,19.9,1016.2,0.1,0.0,0.0,51,100,2.9
2022-01-03T06:00,21.3,93,20.1,1016.3,0.2,0.0,0.0,51,100,3.4
2022-01-03T07:00,21.6,91,20.1,1016.9,0.3,0.0,0.0,51,100,6.0
2022-01-03T08:00,22.4,84,19.5,1017.5,0.2,0.0,0.0,51,79,8.0
2022-01-03T09:00,22.4,83,19.3,1018.1,0.3,0.0,0.0,51,90,13.2
2022-01-03T10:00,22.9,83,19.9,1017.9,0.1,0.0,0.0,51,92,8.9
